epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
90,11258.2,0.28067,0.2231,0.87534,0.00589,0.99988,1,0.995,0.98463,0.16928,0.12306,0.79512,0.00099,0.0002378,0.0002378,0.0002378
91,11329.8,0.22372,0.16752,0.84175,0.00185,0.99984,1,0.995,0.98717,0.19434,0.13409,0.79775,0.00116,0.000218,0.000218,0.000218
92,11382.9,0.21832,0.16273,0.83383,0.00195,0.99987,1,0.995,0.98714,0.18706,0.1293,0.79517,0.00118,0.0001982,0.0001982,0.0001982
93,11435.8,0.21674,0.15831,0.83883,0.00196,0.99988,1,0.995,0.9871,0.18545,0.12811,0.79418,0.00114,0.0001784,0.0001784,0.0001784
94,11489.1,0.21114,0.15382,0.83012,0.00155,0.99988,1,0.995,0.9856,0.17663,0.12472,0.79443,0.00111,0.0001586,0.0001586,0.0001586
95,11542.1,0.21412,0.15599,0.83059,0.0019,0.99988,1,0.995,0.9854,0.18019,0.12767,0.79431,0.00121,0.0001388,0.0001388,0.0001388
96,11595.5,0.21308,0.15556,0.83965,0.00199,0.99988,1,0.995,0.9861,0.17089,0.12491,0.79303,0.00106,0.000119,0.000119,0.000119
97,11648.5,0.21062,0.15458,0.82598,0.00161,0.99988,1,0.995,0.98588,0.17595,0.12461,0.79409,0.00104,9.92e-05,9.92e-05,9.92e-05
98,11701.6,0.20981,0.15137,0.82558,0.00184,0.99988,1,0.995,0.98721,0.19061,0.12665,0.79503,0.0011,7.94e-05,7.94e-05,7.94e-05
99,11754.5,0.20934,0.15265,0.83401,0.00158,0.99988,1,0.995,0.98727,0.17438,0.12496,0.79309,0.00105,5.96e-05,5.96e-05,5.96e-05
100,11807.6,0.20853,0.15217,0.83131,0.00173,0.99988,1,0.995,0.9874,0.18075,0.12557,0.79387,0.00104,3.98e-05,3.98e-05,3.98e-05
