epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
55,3635.21,0.31528,0.2375,0.88724,0.00725,1,1,0.995,0.94652,0.31888,0.20309,0.87877,0.00187,0.0009308,0.0009308,0.0009308
56,3648.9,0.30451,0.24732,0.88023,0.00707,0.99958,1,0.995,0.94523,0.30646,0.20743,0.87795,0.00165,0.000911,0.000911,0.000911
57,3662.63,0.29735,0.22837,0.87141,0.00592,0.99959,1,0.995,0.94576,0.3159,0.20899,0.8886,0.00179,0.0008912,0.0008912,0.0008912
58,3676.37,0.31955,0.24753,0.89446,0.00795,1,1,0.995,0.94357,0.30368,0.19829,0.87218,0.00167,0.0008714,0.0008714,0.0008714
59,3690.11,0.31494,0.24721,0.88458,0.00613,1,1,0.995,0.94613,0.30924,0.19962,0.88443,0.00158,0.0008516,0.0008516,0.0008516
60,3703.87,0.31608,0.24775,0.88527,0.00599,0.9996,1,0.995,0.94911,0.34156,0.213,0.87871,0.00192,0.0008318,0.0008318,0.0008318
61,3717.65,0.29097,0.23359,0.87277,0.00541,0.99958,1,0.995,0.94848,0.31592,0.20249,0.89134,0.0014,0.000812,0.000812,0.000812
62,3731.4,0.30366,0.24094,0.87421,0.00536,0.99958,1,0.995,0.94249,0.31532,0.20996,0.88416,0.00152,0.0007922,0.0007922,0.0007922
63,3745.13,0.29941,0.23119,0.87636,0.00532,0.99955,1,0.995,0.94458,0.31311,0.20156,0.87918,0.00195,0.0007724,0.0007724,0.0007724
64,3758.89,0.30393,0.23405,0.88722,0.00758,0.99959,1,0.995,0.94993,0.3007,0.19101,0.86872,0.00178,0.0007526,0.0007526,0.0007526
65,3772.68,0.31206,0.23562,0.88079,0.00596,1,1,0.995,0.94955,0.30149,0.20081,0.87133,0.0016,0.0007328,0.0007328,0.0007328
66,3786.52,0.29043,0.22007,0.86889,0.00357,1,1,0.995,0.94834,0.30141,0.1931,0.8764,0.00172,0.000713,0.000713,0.000713
67,3800.27,0.30162,0.22691,0.88135,0.00541,1,1,0.995,0.94885,0.30178,0.19448,0.87201,0.00161,0.0006932,0.0006932,0.0006932
68,3814,0.29142,0.23413,0.86799,0.0043,0.99959,1,0.995,0.9485,0.3091,0.19538,0.88058,0.00189,0.0006734,0.0006734,0.0006734
69,3827.74,0.28058,0.2204,0.86025,0.00493,0.99959,1,0.995,0.95591,0.3093,0.1908,0.8681,0.00164,0.0006536,0.0006536,0.0006536
70,3841.52,0.30318,0.22666,0.87133,0.00496,0.99957,1,0.995,0.95775,0.29139,0.18568,0.85446,0.00157,0.0006338,0.0006338,0.0006338
71,3855.29,0.29753,0.21995,0.88539,0.00762,0.99956,1,0.995,0.961,0.27332,0.17932,0.84936,0.00174,0.000614,0.000614,0.000614
72,3869.1,0.2809,0.21436,0.86644,0.00463,0.99957,1,0.995,0.95585,0.29497,0.18294,0.85386,0.0019,0.0005942,0.0005942,0.0005942
73,3882.82,0.27197,0.21461,0.86072,0.00518,0.99957,1,0.995,0.95959,0.27263,0.17585,0.84892,0.0018,0.0005744,0.0005744,0.0005744
74,3896.57,0.28431,0.22544,0.86683,0.0044,0.99955,1,0.995,0.9626,0.25915,0.17432,0.84372,0.00203,0.0005546,0.0005546,0.0005546
75,3910.29,0.28022,0.21662,0.86002,0.00382,1,1,0.995,0.9683,0.27621,0.17458,0.84312,0.00187,0.0005348,0.0005348,0.0005348
76,3924.15,0.28185,0.21707,0.86098,0.00355,1,1,0.995,0.95572,0.28948,0.18124,0.85966,0.0019,0.000515,0.000515,0.000515
77,3937.91,0.28246,0.22181,0.86748,0.00618,1,1,0.995,0.95668,0.27168,0.16681,0.84809,0.00175,0.0004952,0.0004952,0.0004952
78,3951.68,0.26379,0.20692,0.84258,0.0038,1,1,0.995,0.94903,0.29088,0.17793,0.87592,0.00147,0.0004754,0.0004754,0.0004754
79,3965.44,0.27328,0.22092,0.86106,0.00665,1,1,0.995,0.95996,0.24514,0.17267,0.83877,0.00202,0.0004556,0.0004556,0.0004556
80,3979.18,0.27177,0.21574,0.87498,0.00504,0.99957,1,0.995,0.96174,0.24402,0.1624,0.83839,0.00152,0.0004358,0.0004358,0.0004358
81,3992.85,0.26852,0.21209,0.85749,0.00467,1,1,0.995,0.9525,0.2746,0.16758,0.85268,0.00158,0.000416,0.000416,0.000416
82,4006.57,0.26095,0.2056,0.8593,0.0045,1,1,0.995,0.95041,0.28548,0.17233,0.86449,0.00158,0.0003962,0.0003962,0.0003962
83,4020.34,0.25476,0.20522,0.85705,0.00455,1,1,0.995,0.94575,0.28928,0.17107,0.87145,0.00164,0.0003764,0.0003764,0.0003764
84,4034.06,0.26037,0.20005,0.86418,0.00507,1,1,0.995,0.94688,0.28523,0.17758,0.86657,0.00158,0.0003566,0.0003566,0.0003566
85,4047.8,0.26171,0.20638,0.85901,0.0061,1,1,0.995,0.95758,0.24532,0.16461,0.8433,0.00168,0.0003368,0.0003368,0.0003368
86,4061.62,0.25392,0.20225,0.85725,0.00484,1,1,0.995,0.95677,0.27271,0.16656,0.85303,0.00175,0.000317,0.000317,0.000317
87,4075.36,0.25398,0.20546,0.85487,0.00422,1,1,0.995,0.95574,0.27339,0.17156,0.85306,0.00168,0.0002972,0.0002972,0.0002972
88,4089.17,0.26234,0.20359,0.85952,0.00484,1,1,0.995,0.95272,0.25447,0.16461,0.84841,0.00146,0.0002774,0.0002774,0.0002774
89,4102.97,0.26916,0.20542,0.86525,0.00633,0.99959,1,0.995,0.94758,0.27778,0.17419,0.8631,0.00152,0.0002576,0.0002576,0.0002576
90,4116.74,0.27073,0.2083,0.87123,0.00415,0.99956,1,0.995,0.95785,0.25514,0.16819,0.84847,0.00156,0.0002378,0.0002378,0.0002378
91,4149.25,0.19428,0.15046,0.80644,0.00112,0.99951,1,0.995,0.96551,0.22711,0.1645,0.83733,0.00163,0.000218,0.000218,0.000218
92,4162.96,0.19286,0.14782,0.82031,0.00121,0.99953,1,0.995,0.96111,0.24979,0.16327,0.84313,0.00148,0.0001982,0.0001982,0.0001982
93,4176.61,0.1905,0.14535,0.82291,0.0009,0.99956,1,0.995,0.95698,0.26441,0.16706,0.84775,0.00153,0.0001784,0.0001784,0.0001784
94,4190.3,0.18829,0.13952,0.81382,0.00108,0.99959,1,0.995,0.95654,0.27067,0.16536,0.85472,0.00158,0.0001586,0.0001586,0.0001586
95,4203.91,0.19189,0.13994,0.81941,0.0012,0.99959,1,0.995,0.95706,0.26375,0.16032,0.84451,0.00153,0.0001388,0.0001388,0.0001388
96,4217.6,0.18687,0.13867,0.82718,0.00095,0.99958,1,0.995,0.96181,0.24939,0.16011,0.83886,0.00144,0.000119,0.000119,0.000119
97,4232.14,0.18199,0.13645,0.81602,0.00091,0.99956,1,0.995,0.96897,0.22711,0.15619,0.82781,0.00153,9.92e-05,9.92e-05,9.92e-05
98,4245.88,0.1776,0.13731,0.80782,0.00094,0.99955,1,0.995,0.9691,0.2239,0.15492,0.82736,0.00149,7.94e-05,7.94e-05,7.94e-05
99,4259.58,0.18444,0.13579,0.82218,0.00102,0.99953,1,0.995,0.96532,0.23523,0.15877,0.83487,0.00152,5.96e-05,5.96e-05,5.96e-05
100,4273.35,0.18247,0.13693,0.81062,0.00104,0.99955,1,0.995,0.9612,0.24168,0.15852,0.83941,0.00154,3.98e-05,3.98e-05,3.98e-05
